발행처,빈도
대구한의대학교 한방산업대학원,2
호남신학대학교 대학원,2
총신대학교 사회복지대학원,2
인하대학교 보건대학원,2
한국산업기술대학교 지식기반기술에너지대학원,2
청주교육대학교 교육대학원 초등상담교육,2
배재대학교 배재대학원,2
동서대학교 일반대학교,2
한남대학교 학제신학대학원,2
한림대학교,2
과학기술연합대학원대학교(UST),2
강남대학교 사회복지전문대학원,2
우석대학교 국방정책대학원,2
전주대학교 경영행정대학원,2
국립한밭대학교 산업대학원,2
중부대학교 대학원,2
순천대학교 교육대학원,2
한림대학교 간호대학원,2
인하대학교 정책대학원,2
경성대학교 대학원,2
국립한국교통대학교 일반대학원,2
한세대학교 휴먼서비스대학원,2
신라대학교 산업융합대학원신라대학교,2
국립공주대학교 일반대학원,2
한국산업기술대학교 산업기술·경영대학원,2
협성대학교일반대학원,2
순천대학교 사회문화예술대학원,2
교통대학교 일반대학원,2
아신대학교,2
신한대학교  대학원,2
청주교육대학교 대학원,2
김천대학교 글로컬휴먼대학원,2
울산대학교 의과대학원,2
영산대학교 부동산대학원,2
신라대학교 교육대학원신라대학교,2
우송대학교 글로벌 외식조리대학원,2
한일장신대학교 심리치료대학원,2
대전대학교 대전대학원,2
대전대학교 경영행정사회복지대학원,2
추계예술대학교 교육대학원,2
Graduate School of Hallym University,2
호서대학교 일반대학교,2
한국상담대학원 대학교,2
남부대학교 일반대학원 간호학과,2
PRESBYTERIAN UNIVERSITY AND THEOLOGICAL SEMINARY,2
과학기술연합대학원대학교 (UST),2
University of Ulsan,2
"Dong-eui University, Graduate School",2
호서대학교 일번대학원,2
과학기술연합대학원대학교 일반대학원,2
남서울대학교 국제대학원,2
방송통신대학교 대학원,2
사이버한국외국어대학교 TESOL대학원,2
Pukyong national university 기술경영전문대학원,2
GRADUATE SCHOOL JEJU NATIONAL UNIVERSITY,2
KICT,2
순천향대학교의생명연구,2
계명대학교  대학원,2
안동대학교 대학원,2
금오공과대학교 산업대학원,2
Pukyong national university 대학원,2
덕성여자대학교 일반대학원,2
한국과학기술연합대학원대학교,2
Pukyong National University 대학원,2
Graduate School of Korea Maritime and Ocean University,2
강서대학교 일반대학원,2
한국산업기술대학교 지에대학원,2
