국가서지번호,출처기관제어번호,자료유형,표제와 책임표시사항,제목,부제목,저자,발행처,발행지역,발행지코드,내용유형,크기,가격,본문언어,분야
NBC202232619,KMU202205342,시청각자료,곰팡이 [녹음자료] / 이아론,곰팡이,No data,이아론(KAC2022E5522),루미넌트엔터테인먼트 [배포],[서울],ulk,performed music,12 cm,No data,kor,음악
NBC202232619,T16554856,시청각자료,공공조직의 이해와 발전 [비디오녹화자료] / 김만희 [강의],공공조직의 이해와 발전,No data,김만희,유니캠퍼스 [제작],[서울],ulk,moving image,12 cm,132000.0,kor,"오락,스포츠"
NBC202232619,T16238190,시청각자료,공부의 본질 [녹음자료] : 절대 공부를 포기하고 싶지 않은 사람들을 위한 9가지 기술 / 이윤규 원작 ; 장수민 연출,공부의 본질,절대 공부를 포기하고 싶지 않은 사람들을 위한 9가지 기술,이윤규;장수민,오디언소리 [공급],서울,ulk,spoken word,No data,No data,kor,교육학
NBC202232619,KMU202206099,시청각자료,공수 [녹음자료] / 청아,공수,No data,청아(KAC2020N8575),RIAK [배포],[서울],ulk,performed music,12 cm,No data,kor,음악
NBC202232619,T16596927,시청각자료,"공정이란 무엇인가? [비디오녹화자료]. 9강, 누구의 공정이 공정한가? /  김범수 강의",공정이란 무엇인가?,No data,김범수,EBS 미디어,서울,ulk,moving image,12 cm,No data,kor,사회과학
NBC202232619,T16596881,시청각자료,"공정이란 무엇인가? [비디오녹화자료]. 10강, 소수자 우대 정책은 공정한가? /  김범수 강의",공정이란 무엇인가?,No data,김범수,EBS 미디어,서울,ulk,moving image,12 cm,No data,kor,사회과학
NBC202232619,T16596882,시청각자료,"공정이란 무엇인가? [비디오녹화자료]. 11강, 외국인 차별은 공정한가? /  김범수 강의",공정이란 무엇인가?,No data,김범수,EBS 미디어,서울,ulk,moving image,12 cm,No data,kor,사회과학
NBC202232620,T16596919,시청각자료,"공정이란 무엇인가? [비디오녹화자료]. 12강, 공정을 넘어 정의로 /  김범수 강의",공정이란 무엇인가?,No data,김범수,EBS 미디어,서울,ulk,moving image,12 cm,No data,kor,사회과학
NBC202232620,T16596811,시청각자료,"공정이란 무엇인가? [비디오녹화자료]. 1강, 공정과 정의 /  김범수 강의",공정이란 무엇인가?,No data,김범수,EBS 미디어,서울,ulk,moving image,12 cm,No data,kor,사회과학
NBC202232620,T16596920,시청각자료,"공정이란 무엇인가? [비디오녹화자료]. 2강, 한국 사회의 공정 담론 /  김범수 강의",공정이란 무엇인가?,No data,김범수,EBS 미디어,서울,ulk,moving image,12 cm,No data,kor,사회과학
NBC202232620,T16596921,시청각자료,"공정이란 무엇인가? [비디오녹화자료]. 3강, 아리스토텔레스의 공정론 /  김범수 강의",공정이란 무엇인가?,No data,김범수,EBS 미디어,서울,ulk,moving image,12 cm,No data,kor,사회과학
NBC202232620,T16596922,시청각자료,"공정이란 무엇인가? [비디오녹화자료]. 4강, 정치적 평등과 사회경제적 불평등 /  김범수 강의",공정이란 무엇인가?,No data,김범수,EBS 미디어,서울,ulk,moving image,12 cm,No data,kor,사회과학
NBC202232620,T16596923,시청각자료,"공정이란 무엇인가? [비디오녹화자료]. 5강, 선별적 복지는 공정한가? /  김범수 강의",공정이란 무엇인가?,No data,김범수,EBS 미디어,서울,ulk,moving image,12 cm,No data,kor,사회과학
NBC202232620,T16596924,시청각자료,"공정이란 무엇인가? [비디오녹화자료]. 6강, 소득 격차는 공정한가? /  김범수 강의",공정이란 무엇인가?,No data,김범수,EBS 미디어,서울,ulk,moving image,12 cm,No data,kor,사회과학
NBC202232620,T16596925,시청각자료,"공정이란 무엇인가? [비디오녹화자료]. 7강, 상속과 증여는 공정한가? /  김범수 강의",공정이란 무엇인가?,No data,김범수,EBS 미디어,서울,ulk,moving image,12 cm,No data,kor,사회과학
NBC202232620,T16596926,시청각자료,"공정이란 무엇인가? [비디오녹화자료]. 8강,  수능시험은 공정한가? /  김범수 강의",공정이란 무엇인가?,No data,김범수,EBS 미디어,서울,ulk,moving image,12 cm,No data,kor,사회과학
NBC202232620,T16598796,시청각자료,"공정한 보상의 힘 [비디오녹화자료]. 1, 성과급이 쏘아 올린 논쟁 /  신재용 강의",공정한 보상의 힘,No data,신재용,EBS 미디어,서울,ulk,moving image,12 cm,No data,kor,경제학
NBC202232621,T16598488,시청각자료,"공정한 보상의 힘 [비디오녹화자료]. 2, 차라리 능력주의 /  신재용 강의",공정한 보상의 힘,No data,신재용,EBS 미디어,서울,ulk,moving image,12 cm,No data,kor,경제학
NBC202232621,T16598489,시청각자료,"공정한 보상의 힘 [비디오녹화자료]. 3, MZ세대를 움직이는 보상 체계 /  신재용 강의",공정한 보상의 힘,No data,신재용,EBS 미디어,서울,ulk,moving image,12 cm,No data,kor,경제학
NBC202232621,T16598494,시청각자료,"공정한 보상의 힘 [비디오녹화자료]. 4, 임직원의 성과, 어떻게 평가할까 /  신재용 강의",공정한 보상의 힘,No data,신재용,EBS 미디어,서울,ulk,moving image,12 cm,No data,kor,경제학
