국가서지번호,출처기관제어번호,자료유형,표제와 책임표시사항,제목,부제목,저자,발행처,발행지역,발행지코드,내용유형,크기,가격,본문언어,분야
NBC202229964,KMO202240306,공공간행물,오믹스배양기법을 이용한 다기능성 생물방제용 신규 미생물 확보 : 포스트게놈 다부처 유전체사업 2021년도 최종보고서 / 주관연구기관명: 목원대학교 산학협력단 ; 주관연구책임자: 이효진,오믹스배양기법을 이용한 다기능성 생물방제용 신규 미생물 확보,포스트게놈 다부처 유전체사업 2021년도 최종보고서,이효진(KAC201849688);목원대학교.산학협력단(KAB202202983),농림축산식품부,No data,sjk,text,30 cm,No data,kor,"농업,농학"
NBC202229965,KMO202304719,공공간행물,"오염배출부하 및 유달특성 정밀분석과 유역모델을 이용한 금호강 수질개선 방안 마련 연구 = Investigation on pollutant source loading and development of a hydrological model in the Kumho River basin : 최종보고서 / 연구기관명: 경북대학교 산학협력단, 엔비전 ; 연구책임자: 이병준 ; 연구원: 김시원, 권구호, 서영민, 김재인",오염배출부하 및 유달특성 정밀분석과 유역모델을 이용한 금호강 수질개선 방안 마련 연구,최종보고서,이병준(KAC2019F6356);김시원;권구호;서영민(KAC201858926);김재인(KAC2021H2386);경북대학교.산학협력단(KAB201400287);엔비전(KAB201724426),낙동강수계관리위원회,No data,gnk,text,30 cm,No data,kor,"공학,공업일반,토목공학,환경공학"
NBC202229965,KMO202260843,공공간행물,"오염원 현장조사 및 산정지원 = Support for field-investigation and estimation by pollutant source / 연구기관명: 한국유역환경학회, 이티워터, 이엠연구소 ; 연구책임자: 장미향 ; 책임연구원: 송시훈, 김재석, 김보배, 박근용, 권오상, 이한필, 신민환 ; 연구원: 박기범, 고진석, 문상청, 이정협, 최성준, 정지영, 손장원, 손영권, 최재호, 조성진, 오희상, 정선아, 이효준, 금동혁",오염원 현장조사 및 산정지원,No data,장미향;송시훈;김재석;김보배;박근용;권오상;이한필;신민환;박기범;고진석;문상청;이정협;최성준;정지영;손장원;손영권;최재호;조성진;오희상;정선아;이효준;금동혁;한국유역환경학회(KAB202200346);이티워터;이엠연구소,국립환경과학원,No data,ick,text,30 cm,No data,kor,"공학,공업일반,토목공학,환경공학"
NBC202229965,KMO202258183,공공간행물,"오이 스마트온실 운영 재배 매뉴얼 / 집필인: 이지은, 이중환, 류희라, 김성종",오이 스마트온실 운영 재배 매뉴얼,No data,이지은;이중환;류희라;김성종,경상북도농업기술원,대구,tgk,text,25 cm,No data,kor,"농업,농학"
NBC202229965,T16596991,공공간행물,오직 강원 : 제38대 최문순 강원도지사 연설문집 : 2020.7. ~ 2022.6. / 최문순 [지음],오직 강원,제38대 최문순 강원도지사 연설문집 :2020.7. ~ 2022.6.,최문순,강원도,춘천,gak,text,23 cm,No data,kor,행정학
NBC202229965,KMO202318956,공공간행물,"오크라 재배기술 / 저자: 송은영, 김성철, 안정준, 최경산, 문두경, 권용희, 이소진, 김천환",오크라 재배기술,No data,송은영(KAC2018I4696);김성철(KAC201847212);안정준;최경산(KAC2018H7947);문두경(KAC201621347);권용희;이소진;김천환(KAC2018G2110),농촌진흥청 국립원예특작과학원 온난화대응농업연구소,제주,jjk,text,24 cm,No data,kor,"농업,농학"
NBC202229965,KMO202320455,공공간행물,"오픈 플랫폼 기반 시민참여 입법 활성화 1단계 세부추진 방안 연구 : 2022 서울특별시의회 연구용역 최종보고서 : 제11대 서울특별시의회 / 연구기관: 중앙대학교 산학협력단 ; 책임연구원: 최영진 ; 연구원: 정태연, 김동현",오픈 플랫폼 기반 시민참여 입법 활성화 1단계 세부추진 방안 연구,2022 서울특별시의회 연구용역 최종보고서 :제11대 서울특별시의회,최영진(KAC201614777);정태연(KAC201406485);김동현(KAC201768205);중앙대학교.산학협력단(KAB201400272),서울특별시의회 사무처,서울,ulk,text,30 cm,No data,kor,정치학
NBC202229965,KMO202313935,공공간행물,온라인 독서 활동을 위한 디지털 게임 제작 / 전라북도교육청교육연구정보원 [편],온라인 독서 활동을 위한 디지털 게임 제작,No data,전라북도교육청.교육연구정보원,전라북도교육청교육연구정보원,전주,jbk,text,30 cm,No data,kor,문헌정보학
NBC202229965,KMO202319825,공공간행물,"온실가스 내부감축사업, 외부사업 검증 매뉴얼 및 세부검증 가이드라인 / 국립환경과학원 [편]","온실가스 내부감축사업, 외부사업 검증 매뉴얼 및 세부검증 가이드라인",No data,국립환경과학원(KAB201400256),국립환경과학원,인천,ick,text,30 cm,No data,kor,"공학,공업일반,토목공학,환경공학"
NBC202229965,KMO202257194,공공간행물,온재문고로 본 박선수 가문의 자료적 가치 조명 : 2022년 '온재문고 설치' 기념 학술 심포지엄 / 국립중앙도서관 고문헌과 [편],온재문고로 본 박선수 가문의 자료적 가치 조명,2022년 '온재문고 설치' 기념 학술 심포지엄,국립중앙도서관.고문헌과(KAB202010778),국립중앙도서관 고문헌과,서울,ulk,text,30 cm,No data,kor,전기
