출처기관제어번호,자료유형,제목,부제목,저자,발행처,발행지역,발행년,내용유형,크기,본문언어,가격,분야
KSE200400404,연속간행물,통계연보-증평군,No data,증평군.자치행정과;충청북도.증평출장소,증평군,증평,-,text,26 cm,kor,No data,행정학
KSE199510608,연속간행물,통계연보-진안군,No data,진안군,진안군,진주,-,text,27 cm,kor,No data,행정학
KSE199501911,연속간행물,통계연보-창녕군,No data,경상남도.창녕군,창녕군,창원,-,text,27 cm,kor,0.0,행정학
KSE199502508,연속간행물,통계연보-횡성군,No data,강원도.횡성군,횡성군,횡성,-,text,26 cm,kor,No data,행정학
KSE199502508,연속간행물,통계연보-횡성군,No data,강원도.횡성군,횡성군,횡성,-,text,26 cm,kor,No data,행정학
KSE201900613,연속간행물,통계의 창,No data,통계청.통계교육원,통계청 통계교육원,대구,2019-,text,28 cm,kor,No data,통계학
KSE201900613,연속간행물,통계의 창,No data,통계청.통계교육원,통계청 통계교육원,대구,2019-,text,28 cm,kor,No data,통계학
KSE200400592,연속간행물,통번역교육연구,No data,한국통번역교육학회,한국통번역교육학회,서울,2003-,text,23 cm,kor,No data,한국어
KSE200400592,연속간행물,통번역교육연구,No data,한국통번역교육학회,한국통번역교육학회,서울,2003-,text,23 cm,kor,No data,한국어
KSE200400592,연속간행물,통번역교육연구,No data,한국통번역교육학회,한국통번역교육학회,서울,2003-,text,23 cm,kor,No data,한국어
KSE200400592,연속간행물,통번역교육연구,No data,한국통번역교육학회,한국통번역교육학회,서울,2003-,text,23 cm,kor,No data,한국어
KSE200801620,연속간행물,통번역학연구,No data,한국외국어대학교.통번역연구소,한국외국어대학교 통번역연구소,서울,2006-,text,23 cm,kor,No data,한국어
KSE200801620,연속간행물,통번역학연구,No data,한국외국어대학교.통번역연구소,한국외국어대학교 통번역연구소,서울,2006-,text,23 cm,kor,No data,한국어
KSE200801620,연속간행물,통번역학연구,No data,한국외국어대학교.통번역연구소,한국외국어대학교 통번역연구소,서울,2006-,text,23 cm,kor,No data,한국어
KSE200801620,연속간행물,통번역학연구,No data,한국외국어대학교.통번역연구소,한국외국어대학교 통번역연구소,서울,2006-,text,23 cm,kor,No data,한국어
KSE201900063,연속간행물,통상,통하는 세상,산업통상자원부.신통상질서협력관,산업통상자원부,세종,2019-,text,28 cm,kor,No data,경제학
KSE199700898,연속간행물,통상법률,No data,법무부.국제법무과,법무부 국제법무과,과천,1995-,text,26 cm,kor,No data,법학
KSE199700898,연속간행물,통상법률,No data,법무부.국제법무과,법무부 국제법무과,과천,1995-,text,26 cm,kor,No data,법학
KSE199700898,연속간행물,통상법률,No data,법무부.국제법무과,법무부 국제법무과,과천,1995-,text,26 cm,kor,No data,법학
KSE199700898,연속간행물,통상법률,No data,법무부.국제법무과,법무부 국제법무과,과천,1995-,text,26 cm,kor,No data,법학
KSE199700898,연속간행물,통상법률,No data,법무부.국제법무과,법무부 국제법무과,과천,1995-,text,26 cm,kor,No data,법학
KSE202101546,연속간행물,통상법무정책,No data,산업통상자원부,산업통상자원부,세종,2021-,text,26 cm,kor,No data,법학
KSE202101546,연속간행물,통상법무정책,No data,산업통상자원부,산업통상자원부,세종,2021-,text,26 cm,kor,No data,법학
KSE200300150,연속간행물,통상정보연구,No data,한국통상정보학회,한국통상정보학회,서울,1999-,text,26 cm,kor,No data,경제학
KSE200300150,연속간행물,통상정보연구,No data,한국통상정보학회,한국통상정보학회,서울,1999-,text,26 cm,kor,No data,경제학
KSE200300150,연속간행물,통상정보연구,No data,한국통상정보학회,한국통상정보학회,서울,1999-,text,26 cm,kor,No data,경제학
KSE200300150,연속간행물,통상정보연구,No data,한국통상정보학회,한국통상정보학회,서울,1999-,text,26 cm,kor,No data,경제학
KSE201301300,연속간행물,통신심의 사례집,No data,방송통신심의위원회,방송통신심의위원회,서울,-,text,26 cm,kor,No data,경제학
KSE200000306,연속간행물,통역과 번역,No data,한국국제회의통역학회;한국통역번역학회,한국국제회의통역학회,서울,1999-,text,23 cm,kor,23000.0,한국어
KSE200000306,연속간행물,통역과 번역,No data,한국국제회의통역학회;한국통역번역학회,한국국제회의통역학회,서울,1999-,text,23 cm,kor,23000.0,한국어
KSE200000306,연속간행물,통역과 번역,No data,한국국제회의통역학회;한국통역번역학회,한국국제회의통역학회,서울,1999-,text,23 cm,kor,23000.0,한국어
KSE200200099,연속간행물,통영문학,No data,통영문인협회.편집위원회,통영문인협회,경남,-,text,23 cm,kor,12000.0,한국문학
KSE201400342,연속간행물,통영통계연보,No data,경상남도.통영시,통영시,통영,-,text,12 cm,kor,No data,행정학
KSE199501077,연속간행물,통영통계연보,No data,통영군;경상남도.통영시,통영군,충무,-,text,26 cm,kor,No data,행정학
KSE200700919,연속간행물,통인미술,No data,통인가게,통인가게,서울,2007-,text,21 cm,kor,5000.0,예술
KSE200700919,연속간행물,통인미술,No data,통인가게,통인가게,서울,2007-,text,21 cm,kor,5000.0,예술
KSE200700919,연속간행물,통인미술,No data,통인가게,통인가게,서울,2007-,text,21 cm,kor,5000.0,예술
KSE200700919,연속간행물,통인미술,No data,통인가게,통인가게,서울,2007-,text,21 cm,kor,5000.0,예술
KSE200901605,연속간행물,통일과 평화,No data,서울대학교.통일평화연구소;서울대학교.통일평화연구원,서울대학교 통일평화연구소,서울,2009-,text,23 cm,kor,10000.0,정치학
KSE200901605,연속간행물,통일과 평화,No data,서울대학교.통일평화연구소;서울대학교.통일평화연구원,서울대학교 통일평화연구소,서울,2009-,text,23 cm,kor,10000.0,정치학
KSE202101746,연속간행물,통일교육연구,No data,한국통일교육학회,한국통일교육학회,나주,2004-,text,No data,kor,No data,정치학
KSE202101746,연속간행물,통일교육연구,No data,한국통일교육학회,한국통일교육학회,나주,2004-,text,No data,kor,No data,정치학
KSE200302214,연속간행물,통일교육협의회 회보,No data,통일교육협의회,통일교육협의회,서울,2002-,text,26 cm,kor,No data,정치학
KSE200302214,연속간행물,통일교육협의회 회보,No data,통일교육협의회,통일교육협의회,서울,2002-,text,26 cm,kor,No data,정치학
KSE201100425,연속간행물,통일논문집,No data,통일부.통일교육원;통일부.국립통일교육원,통일부 통일교육원,서울,-,text,26 cm,kor,No data,정치학
KSE199501117,연속간행물,통일문제연구,No data,평화문제연구소,평화문제연구소,서울,-,text,24 cm,kor,10000.0,정치학
KSE199501117,연속간행물,통일문제연구,No data,평화문제연구소,평화문제연구소,서울,-,text,24 cm,kor,10000.0,정치학
KSE199506963,연속간행물,통일백서,No data,통일부;통일원.통일정책실;통일부.통일정책실,통일원 통일정책실,서울,-,text,23 cm,kor,No data,정치학
KSE202001003,연속간행물,통일법제 이슈페이퍼,No data,한국법제연구원,한국법제연구원,세종,-,text,26 cm,kor,0.0,법학
KSE202001003,연속간행물,통일법제 이슈페이퍼,No data,한국법제연구원,한국법제연구원,세종,-,text,26 cm,kor,0.0,법학
KSE202001003,연속간행물,통일법제 이슈페이퍼,No data,한국법제연구원,한국법제연구원,세종,-,text,26 cm,kor,0.0,법학
KSE202001003,연속간행물,통일법제 이슈페이퍼,No data,한국법제연구원,한국법제연구원,세종,-,text,26 cm,kor,0.0,법학
KSE202001003,연속간행물,통일법제 이슈페이퍼,No data,한국법제연구원,한국법제연구원,세종,-,text,26 cm,kor,0.0,법학
KSE202001003,연속간행물,통일법제 이슈페이퍼,No data,한국법제연구원,한국법제연구원,세종,-,text,26 cm,kor,0.0,법학
KSE202001003,연속간행물,통일법제 이슈페이퍼,No data,한국법제연구원,한국법제연구원,세종,-,text,26 cm,kor,0.0,법학
KSE202001003,연속간행물,통일법제 이슈페이퍼,No data,한국법제연구원,한국법제연구원,세종,-,text,26 cm,kor,0.0,법학
KSE202001003,연속간행물,통일법제 이슈페이퍼,No data,한국법제연구원,한국법제연구원,세종,-,text,26 cm,kor,0.0,법학
KSE199800389,연속간행물,통일연구,No data,연세대학교.통일연구소;연세대학교.북한연구원;연세대학교.통일연구원,연세대학교 통일연구소,서울,1997-,text,22 cm,kor,No data,정치학
KSE199800389,연속간행물,통일연구,No data,연세대학교.통일연구소;연세대학교.북한연구원;연세대학교.통일연구원,연세대학교 통일연구소,서울,1997-,text,22 cm,kor,No data,정치학
KSE201400649,연속간행물,통일인문학,No data,건국대학교.인문학연구원,건국대학교 인문학연구원,서울,2014-,text,23 cm,kor,No data,총류
KSE201400649,연속간행물,통일인문학,No data,건국대학교.인문학연구원,건국대학교 인문학연구원,서울,2014-,text,23 cm,kor,No data,총류
KSE201400649,연속간행물,통일인문학,No data,건국대학교.인문학연구원,건국대학교 인문학연구원,서울,2014-,text,23 cm,kor,No data,총류
KSE201400649,연속간행물,통일인문학,No data,건국대학교.인문학연구원,건국대학교 인문학연구원,서울,2014-,text,23 cm,kor,No data,총류
KSE199700605,연속간행물,통일전략포럼 자료집,No data,경남대학교.극동문제연구소;극동연,경남대학교 극동문제연구소,서울,1995-,text,23 cm,kor,No data,정치학
KSE200700358,연속간행물,통합교육연구,No data,한국통합교육학회,한국통합교육학회,용인,2006-,text,27 cm,kor,No data,교육학
KSE200700358,연속간행물,통합교육연구,No data,한국통합교육학회,한국통합교육학회,용인,2006-,text,27 cm,kor,No data,교육학
KSE202000023,연속간행물,통합문화,No data,통합인문학회;이카 에이앤씨,이카 에이앤씨,서울,2019-,text,26 cm,kor,No data,"사회학,사회문제"
KSE201800652,연속간행물,통합사회복지연구,No data,서울기독대학교.사회복지연구소,서울기독대학교 사회복지연구소,서울,2018-,text,26 cm,kor,No data,"사회학,사회문제"
KSE201100520,연속간행물,통합유럽연구,No data,서강대학교.국제지역문화원,서강대학교 국제지역문화원,서울,2010-,text,23 cm,kor,0.0,사회과학
KSE201100520,연속간행물,통합유럽연구,No data,서강대학교.국제지역문화원,서강대학교 국제지역문화원,서울,2010-,text,23 cm,kor,0.0,사회과학
KSE201100520,연속간행물,통합유럽연구,No data,서강대학교.국제지역문화원,서강대학교 국제지역문화원,서울,2010-,text,23 cm,kor,0.0,사회과학
KSE201101142,연속간행물,통합재정개요,No data,대구광역시.예산담당관실,대구광역시 예산담당관실,대구,2011-,text,26cm,kor,No data,경제학
KSE200501340,연속간행물,통화신용정책 보고서,No data,한국은행,한국은행,서울,-,text,30 cm,kor,0.0,경제학
KSE200501340,연속간행물,통화신용정책 보고서,No data,한국은행,한국은행,서울,-,text,30 cm,kor,0.0,경제학
KSE200501340,연속간행물,통화신용정책 보고서,No data,한국은행,한국은행,서울,-,text,30 cm,kor,0.0,경제학
KSE200501340,연속간행물,통화신용정책 보고서,No data,한국은행,한국은행,서울,-,text,30 cm,kor,0.0,경제학
KSE202100009,연속간행물,퇴옹학보,No data,성철사상연구원,성철사상연구원,서울,2020-,text,23 cm,kor,No data,불교
KSE201300342,연속간행물,투르크·알타이 경제권,No data,한국외국어대학교.중앙아시아연구소;투르크중앙아시아경제권연구단,한국외국어대학교 중앙아시아연구소,용인,2012-,text,26 cm,kor,No data,경제학
KSE201300342,연속간행물,투르크·알타이 경제권,No data,한국외국어대학교.중앙아시아연구소;투르크중앙아시아경제권연구단,한국외국어대학교 중앙아시아연구소,용인,2012-,text,26 cm,kor,No data,경제학
KSE201300342,연속간행물,투르크·알타이 경제권,No data,한국외국어대학교.중앙아시아연구소;투르크중앙아시아경제권연구단,한국외국어대학교 중앙아시아연구소,용인,2012-,text,26 cm,kor,No data,경제학
KSE201300342,연속간행물,투르크·알타이 경제권,No data,한국외국어대학교.중앙아시아연구소;투르크중앙아시아경제권연구단,한국외국어대학교 중앙아시아연구소,용인,2012-,text,26 cm,kor,No data,경제학
KSE200902008,연속간행물,투지,장애인지역공동체가 보내는 작은 '힘',장애인지역공동체,장애인지역공동체,대구,2009-,text,30 cm,kor,No data,"사회학,사회문제"
KSE200902008,연속간행물,투지,장애인지역공동체가 보내는 작은 '힘',장애인지역공동체,장애인지역공동체,대구,2009-,text,30 cm,kor,No data,"사회학,사회문제"
KSE199900163,연속간행물,트럭특장차,No data,트럭타임즈;운송신문사,운송신문사,서울,1996-,text,30 cm,kor,50000.0,"공학,공업일반,토목공학,환경공학"
KSE200301326,연속간행물,특수교육,No data,이화여자대학교.특수교육연구소,이화여자대학교 특수교육연구소,서울,2002-,text,26 cm,kor,No data,교육학
KSE200301326,연속간행물,특수교육,No data,이화여자대학교.특수교육연구소,이화여자대학교 특수교육연구소,서울,2002-,text,26 cm,kor,No data,교육학
KSE200301326,연속간행물,특수교육,No data,이화여자대학교.특수교육연구소,이화여자대학교 특수교육연구소,서울,2002-,text,26 cm,kor,No data,교육학
KSE200301326,연속간행물,특수교육,No data,이화여자대학교.특수교육연구소,이화여자대학교 특수교육연구소,서울,2002-,text,26 cm,kor,No data,교육학
KSE199600605,연속간행물,특수교육 연구,No data,국립특수교육원,국립특수교육원,안산,1994-,text,26 cm,kor,No data,교육학
KSE199600605,연속간행물,특수교육 연구,No data,국립특수교육원,국립특수교육원,안산,1994-,text,26 cm,kor,No data,교육학
KSE199600605,연속간행물,특수교육 연구,No data,국립특수교육원,국립특수교육원,안산,1994-,text,26 cm,kor,No data,교육학
KSE200100989,연속간행물,특수교육 저널,이론과 실천,두뇌한국21.특수교육 교육·연구단;대구대학교.한국특수교육문제연구소,두뇌한국21 특수교육 교육·연구단,대구,2000-,text,26 cm,kor,10000.0,교육학
KSE200100989,연속간행물,특수교육 저널,이론과 실천,두뇌한국21.특수교육 교육·연구단;대구대학교.한국특수교육문제연구소,두뇌한국21 특수교육 교육·연구단,대구,2000-,text,26 cm,kor,10000.0,교육학
KSE200100989,연속간행물,특수교육 저널,이론과 실천,두뇌한국21.특수교육 교육·연구단;대구대학교.한국특수교육문제연구소,두뇌한국21 특수교육 교육·연구단,대구,2000-,text,26 cm,kor,10000.0,교육학
KSE200100989,연속간행물,특수교육 저널,이론과 실천,두뇌한국21.특수교육 교육·연구단;대구대학교.한국특수교육문제연구소,두뇌한국21 특수교육 교육·연구단,대구,2000-,text,26 cm,kor,10000.0,교육학
KSE200900317,연속간행물,특수교육교과교육연구,No data,한국특수교육교과교육학회,한국특수교육교과교육학회,서울,2008-,text,26 cm,kor,No data,교육학
KSE200900317,연속간행물,특수교육교과교육연구,No data,한국특수교육교과교육학회,한국특수교육교과교육학회,서울,2008-,text,26 cm,kor,No data,교육학
KSE200900317,연속간행물,특수교육교과교육연구,No data,한국특수교육교과교육학회,한국특수교육교과교육학회,서울,2008-,text,26 cm,kor,No data,교육학
KSE200900317,연속간행물,특수교육교과교육연구,No data,한국특수교육교과교육학회,한국특수교육교과교육학회,서울,2008-,text,26 cm,kor,No data,교육학
KSE200102210,연속간행물,특수교육재활과학연구,No data,대구대학교.특수교육재활과학연구소,大邱大學校 特殊敎育再活科學硏究所,대구,2000-,text,26 cm,kor,No data,교육학
KSE200102210,연속간행물,특수교육재활과학연구,No data,대구대학교.특수교육재활과학연구소,大邱大學校 特殊敎育再活科學硏究所,대구,2000-,text,26 cm,kor,No data,교육학
KSE200102210,연속간행물,특수교육재활과학연구,No data,대구대학교.특수교육재활과학연구소,大邱大學校 特殊敎育再活科學硏究所,대구,2000-,text,26 cm,kor,No data,교육학
KSE200102210,연속간행물,특수교육재활과학연구,No data,대구대학교.특수교육재활과학연구소,大邱大學校 特殊敎育再活科學硏究所,대구,2000-,text,26 cm,kor,No data,교육학
